番号,回,区分,ID,設問,選択肢1(a),選択肢2(b),選択肢3(c),選択肢4(d),選択肢5(e),正答(K列),正答解析値(L列),正答テキスト(M列)
12,68,A,68-A-012,小脳皮質に存在するニューロンとして誤っているのはどれか。,星状細胞,篭(籠)細胞,ゴルジ細胞,錐体細胞,プルキンエ細胞,4,4,錐体細胞
13,68,A,68-A-013,骨格筋へのグルコース取り込みをインスリンが刺激する糖輸送体はどれか。,SGLT1,SGLT2,GLUT2,GLUT4,GLUT5,4,4,GLUT4
14,68,A,68-A-014,哺乳類の肺胞毛細血管において酸素のガス移動に関わるのはどれか。,一次性能動輸送,サイトーシス,単純拡散,促通拡散,二次性能動輸送,3,3,単純拡散
15,68,A,68-A-015,胃酸分泌およびその過程に関する記述として正しいのはどれか。（2つ選びなさい。）,アセチルコリンは胃酸分泌を抑制する。,ヒスタミンは壁細胞内のCa2+濃度を上昇させる。,ソマトスタチンは胃酸分泌を全体的に促進する。,ガストリンはヒスタミン放出を刺激する。,セクレチンは胃酸分泌を抑制する。,5,"4, 5","ガストリンはヒスタミン放出を刺激する。,セクレチンは胃酸分泌を抑制する。"
16,68,A,68-A-016,成長ホルモン分泌を刺激するのはどれか。,GnRH,IGF-I,グレリン,ソマトスタチン,CRH,3,3,グレリン
17,68,A,68-A-017,メラトニンに関する記述として正しいのはどれか。,ノルアドレナリン刺激により分泌が増加する。,めん羊では非繁殖期に分泌が増加する。,チロシンから合成される。,馬では繁殖期に分泌が増加する。,視床下部の視交叉上核で産生される。,1,1,ノルアドレナリン刺激により分泌が増加する。
18,68,A,68-A-018,脳脊髄液に関する記述として正しいのはどれか。（2つ選びなさい。）,大部分は大脳皮質で生成される。,タンパク質を豊富に含む。,単位体積当たりの重量は脳より小さい。,脳室圧とは無関係に生成される。,クモ膜下腔を経て最終的に静脈に排出される。,5,"4, 5","脳室圧とは無関係に生成される。,クモ膜下腔を経て最終的に静脈に排出される。"
19,68,A,68-A-019,心筋に関する記述として正しいのはどれか。（2つ選びなさい。）,絶対不応期はNa+チャネルの不活性化により生じる。,除神経すると直ちに拍動は停止する。,エネルギーのほぼ全てが嫌気的代謝で産生される。,Ca2+は細胞内のアクチンに結合する。,収縮時には細胞外からのCa2+流入が生じる。,2,"1, 5","絶対不応期はNa+チャネルの不活性化により生じる。,収縮時には細胞外からのCa2+流入が生じる。"
20,68,A,68-A-020,消化および吸収に関する記述として正しいのはどれか。（2つ選びなさい。）,小腸運動は主として内在性の神経により直接制御される。,糖類は全て管腔相で消化される。,Oddi括約筋は小腸腔内が空の時に開いている。,結腸には遊離の胆汁酸を再吸収する輸送系がある。,肝細胞はコレステロールから胆汁酸を生成する。,2,"1, 5","小腸運動は主として内在性の神経により直接制御される。,肝細胞はコレステロールから胆汁酸を生成する。"
21,68,A,68-A-021,哺乳類の赤血球に関する記述として正しいのはどれか。（2つ選びなさい。）,赤血球内の炭酸脱水酵素は二酸化炭素を急速に水和する。,胎子ヘモグロビンは酸素親和性が母体ヘモグロビンより高い。,MCHは赤血球内の平均ヘモグロビン濃度を表す。,老化した赤血球は主に腎臓で破壊処理される。,犬の赤血球寿命は鶏より短い。,1,"1, 2","赤血球内の炭酸脱水酵素は二酸化炭素を急速に水和する。,胎子ヘモグロビンは酸素親和性が母体ヘモグロビンより高い。"
22,68,A,68-A-022,栄養素の利用に関する記述として正しいのはどれか。（2つ選びなさい。）,肝臓はブドウ糖をグリコーゲンや脂肪酸に変換する。,インスリンは筋肉におけるタンパク質合成を促進する。,体内に蓄えられた脂肪酸は必要に応じてブドウ糖へと変換される。,筋肉に貯蔵されたグリコーゲンは大部分が肝臓での糖新生に用いられる。,酪酸はコハク酸となってクエン酸回路に入る。,1,"1, 2","肝臓はブドウ糖をグリコーゲンや脂肪酸に変換する。,インスリンは筋肉におけるタンパク質合成を促進する。"
23,68,A,68-A-023,インスリンのA鎖とB鎖の結合様式はどれか。,ホスホジエステル結合,ジスルフィド結合,ペプチド結合,グリコシド結合,ファンデルワールス結合,2,2,ジスルフィド結合
24,68,A,68-A-024,Gタンパク質共役型受容体はどれか。（2つ選びなさい。）,ヒスタミン受容体,アドレナリン受容体,インスリン受容体,インターフェロン受容体,コルチゾール受容体,1,"1, 2","ヒスタミン受容体,アドレナリン受容体"
25,68,A,68-A-025,量的形質の表現型に関する記述として誤っているのはどれか。,表現型は値を用いて表すことが出来る。,数多くの遺伝子が表現型を支配する。,環境の影響を受けやすい。,毛色は量的形質に含まれる。,量的形質を支配する遺伝子座を同定することができる。,4,4,毛色は量的形質に含まれる。
26,68,A,68-A-026,リドカインに関する記述として正しいのはどれか。（2つ選びなさい。）,炎症部位では局所麻酔作用が強くなる。,アドレナリンと併用すると局所麻酔作用時間が延長する。,局所麻酔作用の感受性は有髄神経より無髄神経で高い。,強心薬として使われることがある。,併用するとサルファ薬の抗菌効果が低下する。,3,"2, 3","アドレナリンと併用すると局所麻酔作用時間が延長する。,局所麻酔作用の感受性は有髄神経より無髄神経で高い。"
27,68,A,68-A-027,"利尿薬と主な作用部位の組合せとして正しいのはどれか。
利尿薬　－　作用部位",フロセミド 　－　ヘンレループの下行脚,アセタゾラミド 　－　集合管,アミロライド 　－　ヘンレループの下行脚,トリアムテレン 　－　近位尿細管,スピロノラクトン 　－　集合管,5,5,スピロノラクトン 　－　集合管
28,68,A,68-A-028,抗痙攣薬はどれか。（2つ選びなさい。）,ドキサプラム,フィゾスチグミン,プラゾシン,バルプロ酸,フェノバルビタール,5,"4, 5","バルプロ酸,フェノバルビタール"
29,68,A,68-A-029,気管支拡張薬はどれか。（2つ選びなさい。）,イプラトロピウム,ペニシラミン,アセチルシステイン,フェニトイン,テオフィリン,2,"1, 5","イプラトロピウム,テオフィリン"
30,68,A,68-A-030,鎮咳薬はどれか。（2つ選びなさい。）,エメチン,フルシトシン,オキシメテバノール,デキストロメトルファン,アザチオプリン,4,"3, 4","オキシメテバノール,デキストロメトルファン"
31,68,A,68-A-031,止血を目的に用いるのはどれか。（2つ選びなさい。）,トラネキサム酸,アスピリン,ウロキナーゼ,ワルファリン,アミノカプロン酸,2,"1, 5","トラネキサム酸,アミノカプロン酸"
32,68,A,68-A-032,子宮弛緩作用をもつのはどれか。,リトドリン,オキシトシン,ジノプロスト,エルゴメトリン,スクラルファート,1,1,リトドリン
33,68,A,68-A-033,"δ-アミノレブリン酸脱水酵素(δ-ALAD)の阻害によって、ヘム合成を
阻害する重金属はどれか。",スズ,ヒ素,水銀,カドミウム,鉛,5,5,鉛
34,68,A,68-A-034,"化学物質の生態毒性試験でTLm(median tolerance limit)を得る試験の供試
生物はどれか。",ミジンコ,ユスリカ,藻類,ウズラ,メダカ,5,5,メダカ
35,68,A,68-A-035,耐容1日摂取量(TDI)が評価に用いられる物質はどれか。,食品から検出されるカビ毒,農産物の生産時に散布する殺虫剤,食肉加工で使用する発色剤,家畜に投与するワクチン,疾病予防のために家畜の飼料に添加される抗菌薬,1,1,食品から検出されるカビ毒
36,68,A,68-A-036,肝障害に関する記述として正しいのはどれか。（2つ選びなさい。）,化学物質の代謝活性化は小葉周辺部の壊死を起こすことが多い。,四塩化炭素による脂質過酸化は肝細胞の壊死をもたらす。,アフラトキシンB はエポキシドに代謝され遺伝毒性や発がん性を示す。,肝細胞毛細胆管側の細胞膜に存在するALPは胆汁うっ滞時に減少する。,肝細胞の傷害度はBUN/Creで判断される。,3,"2, 3","四塩化炭素による脂質過酸化は肝細胞の壊死をもたらす。,アフラトキシンB はエポキシドに代謝され遺伝毒性や発がん性を示す。"
37,68,A,68-A-037,アミロイドに関する記述として正しいのはどれか。（2つ選びなさい。）,幅約10 nmの細線維の集積物である。,肝臓ではディッセ腔に沈着する。,AAアミロイドは形質細胞腫に随伴する。,白脾髄にアミロイドが沈着したものをハム脾という。,脳の老人斑では主にAAアミロイドが沈着する。,1,"1, 2","幅約10 nmの細線維の集積物である。,肝臓ではディッセ腔に沈着する。"
38,68,A,68-A-038,異栄養性石灰沈着で細胞内の石灰沈着が最初に起こる小器官はどれか。,ゴルジ複合体,滑面小胞体,ミトコンドリア,リソソーム,粗面小胞体,3,3,ミトコンドリア
39,68,A,68-A-039,長期の無重力状態に起因する筋萎縮の分類はどれか。,生理的萎縮,栄養障害性萎縮,神経性萎縮,不使用性萎縮,貧血性萎縮,4,4,不使用性萎縮
40,68,A,68-A-040,古い脳軟化病巣にみられる囊胞病変の水腫はどれか。,静脈性水腫,補空性水腫,リンパ水腫,血管神経性水腫,炎症性水腫,2,2,補空性水腫
41,68,A,68-A-041,安定細胞はどれか。,粘膜上皮細胞,骨髄造血細胞,心筋細胞,平滑筋細胞,神経細胞,4,4,平滑筋細胞
42,68,A,68-A-042,骨格筋の凝固壊死はどれか。,硝子滴変性,硝子化,硝子体形成,くもり硝子様変化,硝子様変性,5,5,硝子様変性
43,68,A,68-A-043,"補体成分と生物活性の組合せとして正しいのはどれか。
補体成分　－　生物活性",C1 　－　血管透過性亢進,C3a 　－　好中球の走化性因子,C3b 　－　オプソニン,C4 　－　細胞膜傷害,C5b 　－　アナフィラトキシン,3,3,C3b 　－　オプソニン
44,68,A,68-A-044,腫瘍発生にアンドロジェンが関与するのはどれか。,犬の良性乳腺腫瘍,猫の乳腺癌,犬の肛門周囲腺腫,猫のリンパ腫,犬の前立腺癌,3,3,犬の肛門周囲腺腫
45,68,A,68-A-045,腫瘍随伴症候群として高カルシウム血症がみられることが多いのはどれか。（2つ選びなさい。）,肛門囊アポクリン腺癌,リンパ腫,セルトリ細胞腫,肥満細胞腫,腎細胞癌,1,"1, 2","肛門囊アポクリン腺癌,リンパ腫"
47,68,A,68-A-047,らせん状の細菌に関する記述として正しいのはどれか。,カンピロバクター属菌には2菌種が属している。,ヘリコバクター属菌は芽胞を形成する。,スピリルム属菌はワイル病の原因菌を含む。,ローソニア属菌は無細胞系の人工培地で分離できない。,家畜のレプトスピラ症は家畜伝染病(法定伝染病)である。,4,4,ローソニア属菌は無細胞系の人工培地で分離できない。
